Protein.Group,Protein.Names,Protein,Protein.Description,Sample,Replicate,Top_3pep_counts_mean,%_of_protein_abundance_Top3-method,log10_%_abundance
Q88BX1,ATPD_PSEPK,Atph,ATP synthase subunit delta,PP_0812,R1,3426224.703,0.072115058,-1.141974041
Q88BX1,ATPD_PSEPK,Atph,ATP synthase subunit delta,PP_0812,R2,5291468.067,0.118978731,-0.924530668
Q88BX1,ATPD_PSEPK,Atph,ATP synthase subunit delta,PP_0812,R3,6370000,0.128474907,-0.891181688
Q88BX2,ATPA_PSEPK,Atpa,ATP synthase subunit alpha,PP_0812,R1,28966666.67,0.609689392,-0.214891361
Q88BX2,ATPA_PSEPK,Atpa,ATP synthase subunit alpha,PP_0812,R2,22400000,0.503664302,-0.29785883
Q88BX2,ATPA_PSEPK,Atpa,ATP synthase subunit alpha,PP_0812,R3,29866666.67,0.60237319,-0.220134365
Q88BX3,ATPG_PSEPK,Atpg,ATP synthase gamma chain,PP_0812,R1,5592891.37,0.117718983,-0.929153499
Q88BX3,ATPG_PSEPK,Atpg,ATP synthase gamma chain,PP_0812,R2,2961468.067,0.066588649,-1.176599794
Q88BX3,ATPG_PSEPK,Atpg,ATP synthase gamma chain,PP_0812,R3,5240000,0.105684225,-0.975989833
Q88BX4,ATPB_PSEPK,Atpd,ATP synthase subunit beta,PP_0812,R1,28896666.67,0.608216035,-0.215942135
Q88BX4,ATPB_PSEPK,Atpd,ATP synthase subunit beta,PP_0812,R2,26250000,0.590231604,-0.22897754
Q88BX4,ATPB_PSEPK,Atpd,ATP synthase subunit beta,PP_0812,R3,31193333.33,0.629130392,-0.201259334
Q88BX5,ATPE_PSEPK,Atpc,ATP synthase epsilon chain,PP_0812,R1,4133333.333,0.086998256,-1.060489452
Q88BX5,ATPE_PSEPK,Atpc,ATP synthase epsilon chain,PP_0812,R2,5730000,0.128839127,-0.889952226
Q88BX5,ATPE_PSEPK,Atpc,ATP synthase epsilon chain,PP_0812,R3,5536666.667,0.111667619,-0.952072743
Q88BX6,GLMU_PSEPK,Glmu,Bifunctional protein GlmU,PP_0812,R1,1772891.37,0.037315756,-1.428107757
Q88BX6,GLMU_PSEPK,Glmu,Bifunctional protein GlmU,PP_0812,R2,1253219.667,0.028178661,-1.550079646
Q88BX6,GLMU_PSEPK,Glmu,Bifunctional protein GlmU,PP_0812,R3,295124.7,0.005952295,-2.225315562
Q88BX8,GLMS_PSEPK,Glms,Glutamine--fructose-6-phosphate aminotransferase [isomerizing],PP_0812,R1,709304.74,0.014929421,-1.825957021
Q88BX8,GLMS_PSEPK,Glms,Glutamine--fructose-6-phosphate aminotransferase [isomerizing],PP_0812,R2,246416.2,0.005540672,-2.256437592
Q88BX8,GLMS_PSEPK,Glms,Glutamine--fructose-6-phosphate aminotransferase [isomerizing],PP_0812,R3,1123487.233,0.022659328,-1.644752979
Q88BY9,Q88BY9_PSEPK,Pp_5395,N(4)-bis(aminopropyl)spermidine synthase C-terminal domain-containing protein,PP_0812,R1,1560574.667,0.032846921,-1.48350533
Q88BY9,Q88BY9_PSEPK,Pp_5395,N(4)-bis(aminopropyl)spermidine synthase C-terminal domain-containing protein,PP_0812,R2,663161.4,0.014911193,-1.826487608
Q88BY9,Q88BY9_PSEPK,Pp_5395,N(4)-bis(aminopropyl)spermidine synthase C-terminal domain-containing protein,PP_0812,R3,587350.2333,0.011846117,-1.926423975
Q88BZ1,Q88BZ1_PSEPK,Pp_5392,Beta-propeller fold lactonase family protein,PP_0812,R1,761299.8,0.016023812,-1.795234167
Q88BZ1,Q88BZ1_PSEPK,Pp_5392,Beta-propeller fold lactonase family protein,PP_0812,R2,634817.4,0.014273878,-1.845458026
Q88BZ1,Q88BZ1_PSEPK,Pp_5392,Beta-propeller fold lactonase family protein,PP_0812,R3,372340.6333,0.007509643,-2.124380687
Q88C04,Q88C04_PSEPK,Copb-ii,Copper resistance protein B,PP_0812,R1,254523.7033,0.005357206,-2.271061649
Q88C04,Q88C04_PSEPK,Copb-ii,Copper resistance protein B,PP_0812,R2,14404.2,0.000323879,-3.489617705
Q88C04,Q88C04_PSEPK,Copb-ii,Copper resistance protein B,PP_0812,R3,10591.7,0.000213621,-3.670355449
Q88C17,Q88C17_PSEPK,Lpd,Dihydrolipoyl dehydrogenase,PP_0812,R1,532449.4067,0.011206977,-1.950511535
Q88C17,Q88C17_PSEPK,Lpd,Dihydrolipoyl dehydrogenase,PP_0812,R2,639602.8,0.014381478,-1.842196492
Q88C17,Q88C17_PSEPK,Lpd,Dihydrolipoyl dehydrogenase,PP_0812,R3,727193.9,0.014666588,-1.833670893
Q88C18,Q88C18_PSEPK,Pp_5365,Fatty acid methyltransferase,PP_0812,R1,432748.37,0.009108473,-2.040554442
Q88C18,Q88C18_PSEPK,Pp_5365,Fatty acid methyltransferase,PP_0812,R2,30754.16667,0.000691508,-3.160202884
Q88C18,Q88C18_PSEPK,Pp_5365,Fatty acid methyltransferase,PP_0812,R3,62238.46667,0.001255272,-2.901262236
Q88C30,Q88C30_PSEPK,Pp_5353,Tim44-like domain-containing protein,PP_0812,R1,679294.7033,0.014297771,-1.844731655
Q88C30,Q88C30_PSEPK,Pp_5353,Tim44-like domain-containing protein,PP_0812,R2,808150.0667,0.018171265,-1.740614835
Q88C30,Q88C30_PSEPK,Pp_5353,Tim44-like domain-containing protein,PP_0812,R3,737318.2333,0.014870784,-1.827666146
Q88C31,Q88C31_PSEPK,Uvrd,DNA 3'-5' helicase,PP_0812,R1,972898.3333,0.02047753,-1.688722423
Q88C31,Q88C31_PSEPK,Uvrd,DNA 3'-5' helicase,PP_0812,R2,656669.3333,0.014765219,-1.830760113
Q88C31,Q88C31_PSEPK,Uvrd,DNA 3'-5' helicase,PP_0812,R3,883452.3333,0.017818125,-1.749137998
Q88C32,Q88C32_PSEPK,Zwf,Glucose-6-phosphate 1-dehydrogenase,PP_0812,R1,87106.74,0.00183342,-2.736738122
Q88C32,Q88C32_PSEPK,Zwf,Glucose-6-phosphate 1-dehydrogenase,PP_0812,R2,14404.2,0.000323879,-3.489617705
Q88C32,Q88C32_PSEPK,Zwf,Glucose-6-phosphate 1-dehydrogenase,PP_0812,R3,81798.8,0.001649779,-2.782574188
Q88C33,Q88C33_PSEPK,Pp_5350,"Transcriptional regulator, RpiR family",PP_0812,R1,8674.11,0.000182572,-3.738564958
Q88C33,Q88C33_PSEPK,Pp_5350,"Transcriptional regulator, RpiR family",PP_0812,R2,14404.2,0.000323879,-3.489617705
Q88C33,Q88C33_PSEPK,Pp_5350,"Transcriptional regulator, RpiR family",PP_0812,R3,10591.7,0.000213621,-3.670355449
Q88C36,Q88C36_PSEPK,Pyca,Pyruvate carboxylase subunit A,PP_0812,R1,2902891.37,0.061099957,-1.213959099
Q88C36,Q88C36_PSEPK,Pyca,Pyruvate carboxylase subunit A,PP_0812,R2,1821468.067,0.040955734,-1.387685286
Q88C36,Q88C36_PSEPK,Pyca,Pyruvate carboxylase subunit A,PP_0812,R3,3286863.9,0.066291921,-1.178539399
Q88C37,Q88C37_PSEPK,Pycb,Pyruvate carboxylase subunit B,PP_0812,R1,6133333.333,0.129094187,-0.889093315
Q88C37,Q88C37_PSEPK,Pycb,Pyruvate carboxylase subunit B,PP_0812,R2,5420000,0.121868773,-0.914107561
Q88C37,Q88C37_PSEPK,Pycb,Pyruvate carboxylase subunit B,PP_0812,R3,6896666.667,0.139097113,-0.856681884
Q88C42,Q88C42_PSEPK,Potf-iv,Putrescine-binding periplasmic protein,PP_0812,R1,1081751.037,0.022768658,-1.642662563
Q88C42,Q88C42_PSEPK,Potf-iv,Putrescine-binding periplasmic protein,PP_0812,R2,519602.8,0.011683276,-1.932435365
Q88C42,Q88C42_PSEPK,Potf-iv,Putrescine-binding periplasmic protein,PP_0812,R3,657061.1333,0.013252099,-1.877715342
Q88C43,Q88C43_PSEPK,Apha,Acetylpolyamine aminohydrolase,PP_0812,R1,8674.11,0.000182572,-3.738564958
Q88C43,Q88C43_PSEPK,Apha,Acetylpolyamine aminohydrolase,PP_0812,R2,14404.2,0.000323879,-3.489617705
Q88C43,Q88C43_PSEPK,Apha,Acetylpolyamine aminohydrolase,PP_0812,R3,10591.7,0.000213621,-3.670355449
Q88C45,Q88C45_PSEPK,Aspa,Aspartate ammonia-lyase,PP_0812,R1,465782.74,0.009803779,-2.008606492
Q88C45,Q88C45_PSEPK,Aspa,Aspartate ammonia-lyase,PP_0812,R2,506416.4,0.01138678,-1.943599086
Q88C45,Q88C45_PSEPK,Aspa,Aspartate ammonia-lyase,PP_0812,R3,747070.5667,0.015067476,-1.821959494
Q88C47,Q88C47_PSEPK,Pure,N5-carboxyaminoimidazole ribonucleotide mutase,PP_0812,R1,1607464.037,0.033833847,-1.470648617
Q88C47,Q88C47_PSEPK,Pure,N5-carboxyaminoimidazole ribonucleotide mutase,PP_0812,R2,1442977.4,0.032445366,-1.488847319
Q88C47,Q88C47_PSEPK,Pure,N5-carboxyaminoimidazole ribonucleotide mutase,PP_0812,R3,1623228.233,0.032738477,-1.484941532
Q88C48,Q88C48_PSEPK,Purk,N5-carboxyaminoimidazole ribonucleotide synthase,PP_0812,R1,905782.74,0.019064884,-1.719765842
Q88C48,Q88C48_PSEPK,Purk,N5-carboxyaminoimidazole ribonucleotide synthase,PP_0812,R2,1152936.133,0.025923784,-1.586301598
Q88C48,Q88C48_PSEPK,Purk,N5-carboxyaminoimidazole ribonucleotide synthase,PP_0812,R3,2050197.233,0.041349906,-1.383525477
Q88C51,Q88C51_PSEPK,Pp_5332,Putative glucose-6-phosphate 1-epimerase,PP_0812,R1,301586.37,0.006347779,-2.197378173
Q88C51,Q88C51_PSEPK,Pp_5332,Putative glucose-6-phosphate 1-epimerase,PP_0812,R2,473903.7,0.010655731,-1.972416748
Q88C51,Q88C51_PSEPK,Pp_5332,Putative glucose-6-phosphate 1-epimerase,PP_0812,R3,458507.6667,0.009247524,-2.033974518
Q88C59,Q88C59_PSEPK,Pp_5324,Response regulator,PP_0812,R1,1903333.333,0.040061294,-1.397275029
Q88C59,Q88C59_PSEPK,Pp_5324,Response regulator,PP_0812,R2,1071468.067,0.024091974,-1.618127616
Q88C59,Q88C59_PSEPK,Pp_5324,Response regulator,PP_0812,R3,1697738.667,0.034241259,-1.46545028
Q88C69,Q88C69_PSEPK,Alkt,Rubredoxin-NAD(+) reductase,PP_0812,R1,653987.6667,0.01376511,-1.861220325
Q88C69,Q88C69_PSEPK,Alkt,Rubredoxin-NAD(+) reductase,PP_0812,R2,359639.4,0.008086497,-2.092239584
Q88C69,Q88C69_PSEPK,Alkt,Rubredoxin-NAD(+) reductase,PP_0812,R3,179916.8,0.003628696,-2.440249402
Q88C70,Q88C70_PSEPK,Hupa,DNA-binding protein HU-alpha,PP_0812,R1,954739,0.020095313,-1.696905219
Q88C70,Q88C70_PSEPK,Hupa,DNA-binding protein HU-alpha,PP_0812,R2,1466491,0.03297407,-1.481827446
Q88C70,Q88C70_PSEPK,Hupa,DNA-binding protein HU-alpha,PP_0812,R3,1322324.667,0.026669629,-1.573983021
Q88C72,Q88C72_PSEPK,Pp_5311,Signal transduction protein,PP_0812,R1,1316666.667,0.027713154,-1.557314042
Q88C72,Q88C72_PSEPK,Pp_5311,Signal transduction protein,PP_0812,R2,1211468.067,0.027239876,-1.564794877
Q88C72,Q88C72_PSEPK,Pp_5311,Signal transduction protein,PP_0812,R3,1319685,0.026616391,-1.57485084
Q88C74,Q88C74_PSEPK,Oxyr,Hydrogen peroxide-inducible genes activator,PP_0812,R1,1082891.37,0.02279266,-1.64220499
Q88C74,Q88C74_PSEPK,Oxyr,Hydrogen peroxide-inducible genes activator,PP_0812,R2,287837.4667,0.006472029,-2.188959524
Q88C74,Q88C74_PSEPK,Oxyr,Hydrogen peroxide-inducible genes activator,PP_0812,R3,578844.2333,0.011674562,-1.932759409
Q88C78,Q88C78_PSEPK,Pp_5305,Epimerase/dehydratase-related protein,PP_0812,R1,807038.37,0.016986516,-1.769895699
Q88C78,Q88C78_PSEPK,Pp_5305,Epimerase/dehydratase-related protein,PP_0812,R2,331749.8,0.007459399,-2.127296178
Q88C78,Q88C78_PSEPK,Pp_5305,Epimerase/dehydratase-related protein,PP_0812,R3,937061.1333,0.018899347,-1.723553195
Q88C79,Q88C79_PSEPK,Pp_5304,Lipoprotein,PP_0812,R1,1089558.037,0.02293298,-1.639539514
Q88C79,Q88C79_PSEPK,Pp_5304,Lipoprotein,PP_0812,R2,1996666.667,0.044895077,-1.34780128
Q88C79,Q88C79_PSEPK,Pp_5304,Lipoprotein,PP_0812,R3,1530000,0.03085818,-1.510629689
Q88C80,Q88C80_PSEPK,Rida,Aminoacrylate/iminopropionate hydrolase/deaminase,PP_0812,R1,4486666.667,0.094435204,-1.024866078
Q88C80,Q88C80_PSEPK,Rida,Aminoacrylate/iminopropionate hydrolase/deaminase,PP_0812,R2,3619668.067,0.081388285,-1.089438102
Q88C80,Q88C80_PSEPK,Rida,Aminoacrylate/iminopropionate hydrolase/deaminase,PP_0812,R3,4486666.667,0.090490437,-1.043397315
Q88C81,Q88C81_PSEPK,Spot,"guanosine-3',5'-bis(diphosphate) 3'-diphosphatase",PP_0812,R1,1375735,0.028956422,-1.538255097
Q88C81,Q88C81_PSEPK,Spot,"guanosine-3',5'-bis(diphosphate) 3'-diphosphatase",PP_0812,R2,912065.4667,0.020507804,-1.688080836
Q88C81,Q88C81_PSEPK,Spot,"guanosine-3',5'-bis(diphosphate) 3'-diphosphatase",PP_0812,R3,1454582.333,0.0293371,-1.532582812
Q88C82,RPOZ_PSEPK,Rpoz,DNA-directed RNA polymerase subunit omega,PP_0812,R1,1702891.37,0.035842398,-1.445602938
Q88C82,RPOZ_PSEPK,Rpoz,DNA-directed RNA polymerase subunit omega,PP_0812,R2,2049103,0.046074109,-1.336543059
Q88C82,RPOZ_PSEPK,Rpoz,DNA-directed RNA polymerase subunit omega,PP_0812,R3,1716863.9,0.034626991,-1.460585251
Q88C87,KGUA_PSEPK,Gmk,Guanylate kinase,PP_0812,R1,330535,0.006957089,-2.15757243
Q88C87,KGUA_PSEPK,Gmk,Guanylate kinase,PP_0812,R2,338554.3333,0.007612399,-2.118478471
Q88C87,KGUA_PSEPK,Gmk,Guanylate kinase,PP_0812,R3,282341.6667,0.005694477,-2.244546146
Q88C88,Q88C88_PSEPK,Pp_5295,YicC family protein,PP_0812,R1,1629246,0.034292313,-1.464803219
Q88C88,Q88C88_PSEPK,Pp_5295,YicC family protein,PP_0812,R2,1256003.067,0.028241246,-1.549116148
Q88C88,Q88C88_PSEPK,Pp_5295,YicC family protein,PP_0812,R3,1561401.7,0.031491513,-1.501806472
Q88C89,RNPH_PSEPK,Rph,Ribonuclease PH,PP_0812,R1,635224.37,0.01337018,-1.873862732
Q88C89,RNPH_PSEPK,Rph,Ribonuclease PH,PP_0812,R2,378352.4,0.008507259,-2.070210355
Q88C89,RNPH_PSEPK,Rph,Ribonuclease PH,PP_0812,R3,511011.2333,0.010306455,-1.986890673
Q88C91,Q88C91_PSEPK,Pp_5292,Catabolite repression control protein,PP_0812,R1,2216666.667,0.046656323,-1.331089492
Q88C91,Q88C91_PSEPK,Pp_5292,Catabolite repression control protein,PP_0812,R2,1718979.667,0.038651281,-1.412836108
Q88C91,Q88C91_PSEPK,Pp_5292,Catabolite repression control protein,PP_0812,R3,2560000,0.051631988,-1.287081155
Q88C92,PYRE_PSEPK,Pyre,Orotate phosphoribosyltransferase,PP_0812,R1,2586224.703,0.054434768,-1.264123627
Q88C92,PYRE_PSEPK,Pyre,Orotate phosphoribosyltransferase,PP_0812,R2,1414759.467,0.031810886,-1.497424239
Q88C92,PYRE_PSEPK,Pyre,Orotate phosphoribosyltransferase,PP_0812,R3,2443530.567,0.049282945,-1.307303344
Q88C93,ALGC_PSEPK,Algc,Phosphomannomutase/phosphoglucomutase,PP_0812,R1,342943.0367,0.007218253,-2.141567894
Q88C93,ALGC_PSEPK,Algc,Phosphomannomutase/phosphoglucomutase,PP_0812,R2,301595.6667,0.006781383,-2.168681751
Q88C93,ALGC_PSEPK,Algc,Phosphomannomutase/phosphoglucomutase,PP_0812,R3,417258.6667,0.008415584,-2.074915754
Q88C95,DUT_PSEPK,Dut,Deoxyuridine 5'-triphosphate nucleotidohydrolase,PP_0812,R1,8674.11,0.000182572,-3.738564958
Q88C95,DUT_PSEPK,Dut,Deoxyuridine 5'-triphosphate nucleotidohydrolase,PP_0812,R2,310691.1333,0.006985894,-2.155777989
Q88C95,DUT_PSEPK,Dut,Deoxyuridine 5'-triphosphate nucleotidohydrolase,PP_0812,R3,10591.7,0.000213621,-3.670355449
Q88C96,Q88C96_PSEPK,Dfp,Coenzyme A biosynthesis bifunctional protein CoaBC,PP_0812,R1,1490266,0.031367067,-1.50352609
Q88C96,Q88C96_PSEPK,Dfp,Coenzyme A biosynthesis bifunctional protein CoaBC,PP_0812,R2,1459658.333,0.032820437,-1.483855637
Q88C96,Q88C96_PSEPK,Dfp,Coenzyme A biosynthesis bifunctional protein CoaBC,PP_0812,R3,1370678.333,0.027644862,-1.558385572
Q88C98,Q88C98_PSEPK,Dppa-iv,Periplasmic dipeptide transport protein,PP_0812,R1,1729558.037,0.036403677,-1.438854743
Q88C98,Q88C98_PSEPK,Dppa-iv,Periplasmic dipeptide transport protein,PP_0812,R2,1545992.667,0.034761666,-1.458899418
Q88C98,Q88C98_PSEPK,Dppa-iv,Periplasmic dipeptide transport protein,PP_0812,R3,2637625.667,0.0531976,-1.27410796
Q88C99,RL28_PSEPK,Rpmb,Large ribosomal subunit protein bL28,PP_0812,R1,11163333.33,0.234965452,-0.62899599
Q88C99,RL28_PSEPK,Rpmb,Large ribosomal subunit protein bL28,PP_0812,R2,6098619.333,0.137127538,-0.862875322
Q88C99,RL28_PSEPK,Rpmb,Large ribosomal subunit protein bL28,PP_0812,R3,10433333.33,0.210427242,-0.676898037
Q88CA0,RL33_PSEPK,Rpmg,Large ribosomal subunit protein bL33,PP_0812,R1,4196666.667,0.088331294,-1.053885407
Q88CA0,RL33_PSEPK,Rpmg,Large ribosomal subunit protein bL33,PP_0812,R2,5276666.667,0.118645921,-0.925747188
Q88CA0,RL33_PSEPK,Rpmg,Large ribosomal subunit protein bL33,PP_0812,R3,5433333.333,0.109583516,-0.960254771
Q88CA3,Q88CA3_PSEPK,Kaub,4-guanidinobutyraldehyde dehydrogenase,PP_0812,R1,1204301,0.025348086,-1.596054836
Q88CA3,Q88CA3_PSEPK,Kaub,4-guanidinobutyraldehyde dehydrogenase,PP_0812,R2,1101499.333,0.024767227,-1.606122609
Q88CA3,Q88CA3_PSEPK,Kaub,4-guanidinobutyraldehyde dehydrogenase,PP_0812,R3,1361743,0.027464648,-1.561225969
Q88CA8,Q88CA8_PSEPK,Pp_5273,Oxidoreductase,PP_0812,R1,782094.3333,0.016461494,-1.783530744
Q88CA8,Q88CA8_PSEPK,Pp_5273,Oxidoreductase,PP_0812,R2,341858.0667,0.007686683,-2.114261016
Q88CA8,Q88CA8_PSEPK,Pp_5273,Oxidoreductase,PP_0812,R3,575313.8,0.011603357,-1.935416329
Q88CB1,DADA2_PSEPK,Dada2,D-amino acid dehydrogenase 2,PP_0812,R1,118188.0733,0.002487618,-2.60421623
Q88CB1,DADA2_PSEPK,Dada2,D-amino acid dehydrogenase 2,PP_0812,R2,14404.2,0.000323879,-3.489617705
Q88CB1,DADA2_PSEPK,Dada2,D-amino acid dehydrogenase 2,PP_0812,R3,100424.4667,0.002025435,-2.693481586
Q88CB4,Q88CB4_PSEPK,Pp_5267,Cytochrome c5,PP_0812,R1,168029.74,0.003536684,-2.451403727
Q88CB4,Q88CB4_PSEPK,Pp_5267,Cytochrome c5,PP_0812,R2,463608.6667,0.010424247,-1.981955302
Q88CB4,Q88CB4_PSEPK,Pp_5267,Cytochrome c5,PP_0812,R3,154027.7,0.003106545,-2.50772229
Q88CB6,XPT_PSEPK,Xpt,Xanthine phosphoribosyltransferase,PP_0812,R1,1145012.333,0.02410018,-1.617979718
Q88CB6,XPT_PSEPK,Xpt,Xanthine phosphoribosyltransferase,PP_0812,R2,624987.4,0.01405285,-1.852235586
Q88CB6,XPT_PSEPK,Xpt,Xanthine phosphoribosyltransferase,PP_0812,R3,1326118.333,0.026746143,-1.572738841
Q88CB8,Q88CB8_PSEPK,Pp_5263,GGDEF domain protein,PP_0812,R1,8674.11,0.000182572,-3.738564958
Q88CB8,Q88CB8_PSEPK,Pp_5263,GGDEF domain protein,PP_0812,R2,326168.1333,0.007333895,-2.13466532
Q88CB8,Q88CB8_PSEPK,Pp_5263,GGDEF domain protein,PP_0812,R3,590394.4667,0.011907516,-1.924178842
Q88CC3,Q88CC3_PSEPK,Amab,aldehyde dehydrogenase (NAD(+)),PP_0812,R1,1077893,0.022687454,-1.644214231
Q88CC3,Q88CC3_PSEPK,Amab,aldehyde dehydrogenase (NAD(+)),PP_0812,R2,302252.1333,0.006796143,-2.167737473
Q88CC3,Q88CC3_PSEPK,Amab,aldehyde dehydrogenase (NAD(+)),PP_0812,R3,527061.1333,0.010630162,-1.973460129
Q88CE7,Q88CE7_PSEPK,Glnk,Activator of NRII(GlnL/NtrB) phosphatase,PP_0812,R1,8393288,0.176661634,-0.752857757
Q88CE7,Q88CE7_PSEPK,Glnk,Activator of NRII(GlnL/NtrB) phosphatase,PP_0812,R2,9041717.333,0.203303136,-0.691855922
Q88CE7,Q88CE7_PSEPK,Glnk,Activator of NRII(GlnL/NtrB) phosphatase,PP_0812,R3,10216863.9,0.206061325,-0.686003512
Q88CE8,Q88CE8_PSEPK,Amtb,Ammonium transporter,PP_0812,R1,1452449.407,0.030571105,-1.514688869
Q88CE8,Q88CE8_PSEPK,Amtb,Ammonium transporter,PP_0812,R2,724750.1333,0.016296017,-1.787918544
Q88CE8,Q88CE8_PSEPK,Amtb,Ammonium transporter,PP_0812,R3,1600394.467,0.032277948,-1.491094079
Q88CF0,Q88CF0_PSEPK,Had,(S)-2-haloacid dehalogenase,PP_0812,R1,587816.7033,0.012372346,-1.90754796
Q88CF0,Q88CF0_PSEPK,Had,(S)-2-haloacid dehalogenase,PP_0812,R2,515849.4,0.011598881,-1.935583918
Q88CF0,Q88CF0_PSEPK,Had,(S)-2-haloacid dehalogenase,PP_0812,R3,977364,0.019712205,-1.705264782
Q88CF2,Q88CF2_PSEPK,Pp_5229,DUF484 family protein,PP_0812,R1,455782.74,0.009593299,-2.018032008
Q88CF2,Q88CF2_PSEPK,Pp_5229,DUF484 family protein,PP_0812,R2,127288.8,0.00286209,-2.543316656
Q88CF2,Q88CF2_PSEPK,Pp_5229,DUF484 family protein,PP_0812,R3,780771.3333,0.015747178,-1.802797261
Q88CF4,Q88CF4_PSEPK,Lysa-ii,Diaminopimelate decarboxylase,PP_0812,R1,1676666.667,0.035290422,-1.452343152
Q88CF4,Q88CF4_PSEPK,Lysa-ii,Diaminopimelate decarboxylase,PP_0812,R2,1098348,0.02469637,-1.607366884
Q88CF4,Q88CF4_PSEPK,Lysa-ii,Diaminopimelate decarboxylase,PP_0812,R3,1700199.667,0.034290894,-1.464821194
Q88CF8,Q88CF8_PSEPK,Rnk,Regulator of nucleotide diphosphokinase,PP_0812,R1,71635.44333,0.00150778,-2.82166193
Q88CF8,Q88CF8_PSEPK,Rnk,Regulator of nucleotide diphosphokinase,PP_0812,R2,70172.2,0.001577823,-2.801941755
Q88CF8,Q88CF8_PSEPK,Rnk,Regulator of nucleotide diphosphokinase,PP_0812,R3,67238.7,0.00135612,-2.867701812
Q88CG1,Q88CG1_PSEPK,Elbb,Glyoxalase,PP_0812,R1,1425777,0.030009705,-1.522738278
Q88CG1,Q88CG1_PSEPK,Elbb,Glyoxalase,PP_0812,R2,1363077.733,0.030648821,-1.513586225
Q88CG1,Q88CG1_PSEPK,Elbb,Glyoxalase,PP_0812,R3,1442348.567,0.029090361,-1.536250893
Q88CG4,PPK1_PSEPK,Ppk,Polyphosphate kinase,PP_0812,R1,1276224.703,0.026861933,-1.570862736
Q88CG4,PPK1_PSEPK,Ppk,Polyphosphate kinase,PP_0812,R2,747171.4667,0.01680016,-1.774686569
Q88CG4,PPK1_PSEPK,Ppk,Polyphosphate kinase,PP_0812,R3,1653530.567,0.033349637,-1.476908893
Q88CG5,Q88CG5_PSEPK,Ppx,Exopolyphosphatase,PP_0812,R1,977283.7033,0.020569833,-1.686769226
Q88CG5,Q88CG5_PSEPK,Ppx,Exopolyphosphatase,PP_0812,R2,261228.5333,0.005873727,-2.231086236
Q88CG5,Q88CG5_PSEPK,Ppx,Exopolyphosphatase,PP_0812,R3,857061.1333,0.017285848,-1.762309319
Q88CG6,Q88CG6_PSEPK,Trxa,Thioredoxin,PP_0812,R1,3688220,0.077629526,-1.109973064
Q88CG6,Q88CG6_PSEPK,Trxa,Thioredoxin,PP_0812,R2,4151501.667,0.093346571,-1.029901631
Q88CG6,Q88CG6_PSEPK,Trxa,Thioredoxin,PP_0812,R3,3925417.667,0.079170749,-1.101435248
Q88CG7,Q88CG7_PSEPK,Rho,Transcription termination factor Rho,PP_0812,R1,5533333.333,0.116465407,-0.93380305
Q88CG7,Q88CG7_PSEPK,Rho,Transcription termination factor Rho,PP_0812,R2,6493333.333,0.146002687,-0.83563915
Q88CG7,Q88CG7_PSEPK,Rho,Transcription termination factor Rho,PP_0812,R3,6270000,0.126458033,-0.898053579
Q88CG8,UBID_PSEPK,Ubid,3-octaprenyl-4-hydroxybenzoate carboxy-lyase,PP_0812,R1,1662779.74,0.03499813,-1.455955159
Q88CG8,UBID_PSEPK,Ubid,3-octaprenyl-4-hydroxybenzoate carboxy-lyase,PP_0812,R2,532538.9333,0.011974145,-1.921755484
Q88CG8,UBID_PSEPK,Ubid,3-octaprenyl-4-hydroxybenzoate carboxy-lyase,PP_0812,R3,484122.2667,0.009764139,-2.010366062
Q88CH4,Q88CH4_PSEPK,Rbba,Ribosome-associated ATPase,PP_0812,R1,8674.11,0.000182572,-3.738564958
Q88CH4,Q88CH4_PSEPK,Rbba,Ribosome-associated ATPase,PP_0812,R2,14404.2,0.000323879,-3.489617705
Q88CH4,Q88CH4_PSEPK,Rbba,Ribosome-associated ATPase,PP_0812,R3,10591.7,0.000213621,-3.670355449
Q88CH5,Q88CH5_PSEPK,Yhii,Translation-related protein,PP_0812,R1,751765.0367,0.015823124,-1.800707759
Q88CH5,Q88CH5_PSEPK,Yhii,Translation-related protein,PP_0812,R2,1166666.667,0.026232516,-1.581160058
Q88CH5,Q88CH5_PSEPK,Yhii,Translation-related protein,PP_0812,R3,901681,0.018185774,-1.740268202
Q88CH8,Q88CH8_PSEPK,Fau,5-formyltetrahydrofolate cyclo-ligase,PP_0812,R1,157438.37,0.003313757,-2.479679298
Q88CH8,Q88CH8_PSEPK,Fau,5-formyltetrahydrofolate cyclo-ligase,PP_0812,R2,257991.1333,0.005800934,-2.236502068
Q88CH8,Q88CH8_PSEPK,Fau,5-formyltetrahydrofolate cyclo-ligase,PP_0812,R3,258164.8,0.00520686,-2.283424093
Q88CH9,Q88CH9_PSEPK,Pp_5202,Cell division protein ZapA,PP_0812,R1,101822.74,0.002143161,-2.668945103
Q88CH9,Q88CH9_PSEPK,Pp_5202,Cell division protein ZapA,PP_0812,R2,50780.13333,0.001141792,-2.942413011
Q88CH9,Q88CH9_PSEPK,Pp_5202,Cell division protein ZapA,PP_0812,R3,10591.7,0.000213621,-3.670355449
Q88CI0,Y5201_PSEPK,Pp_5201,UPF0149 protein PP_5201,PP_0812,R1,889116.0733,0.018714084,-1.727831421
Q88CI0,Y5201_PSEPK,Pp_5201,UPF0149 protein PP_5201,PP_0812,R2,629602.8,0.014156627,-1.849040197
