Rank,Protein.Group,Protein.Names,Protein,Protein.Description,%_of protein_abundance_Top3-method
1142,Q88E75,Q88E75_PSEPK,Rnd,Ribonuclease D,0.009299623
1143,Q88NB7,RHLB_PSEPK,Rhlb,ATP-dependent RNA helicase RhlB,0.00929509
1144,Q88PV1,Q88PV1_PSEPK,Pp_0747,"Hypoxanthine phosphoribosyltransferase, putative",0.009294371
1145,Q88H38,Q88H38_PSEPK,Pp_3527,"Transcriptional regulator, TetR family",0.009253879
1146,Q88KI5,Q88KI5_PSEPK,Pp_2305,Uncharacterized protein,0.009253285
1147,Q88N13,Q88N13_PSEPK,Bglx,Periplasmic beta-glucosidase,0.009235665
1148,Q88RK3,Q88RK3_PSEPK,Pp_0126,Cytochrome c4,0.009211465
1149,Q88CI9,GCSP2_PSEPK,Gcvp2,Glycine dehydrogenase (decarboxylating) 2,0.009193976
1150,Q88CT0,NTPA_PSEPK,Pp_5100,Non-canonical purine NTP pyrophosphatase,0.009172918
1151,Q88EW8,Q88EW8_PSEPK,Pp_4334,ParA family protein,0.009172817
1152,Q88EB1,Q88EB1_PSEPK,Pp_4555,Uncharacterized protein,0.009142917
1153,Q88LQ5,Q88LQ5_PSEPK,Pp_1874,Glutathione peroxidase,0.009129557
1154,Q88JI4,Q88JI4_PSEPK,Agmr,DNA-binding response regulator AgmR,0.009102841
1155,Q88MZ1,Q88MZ1_PSEPK,Algt,RNA polymerase sigma factor,0.009096035
1156,Q88QR3,Q88QR3_PSEPK,Pp_0425,Uncharacterized protein,0.009065324
1157,Q88P32,HEXR_PSEPK,Hexr,HTH-type transcriptional regulator HexR,0.00904278
1158,Q88M34,Q88M34_PSEPK,Pp_1741,"Glycine betaine-binding protein, putative",0.009040862
1159,Q88F31,Y4268_PSEPK,Pp_4268,Nucleoid-associated protein PP_4268,0.00900715
1160,Q88CA8,Q88CA8_PSEPK,Pp_5273,"Oxidoreductase, putative",0.00896397
1161,Q88N43,Q88N43_PSEPK,Pp_1373,Low-affinity inorganic phosphate transporter,0.008914778
1162,Q88CE6,Q88CE6_PSEPK,Pp_5235,Uncharacterized protein,0.008905498
1163,Q88DG9,Q88DG9_PSEPK,Pp_4856,"Bacterioferritin, putative",0.008899157
1164,Q88NE0,Q88NE0_PSEPK,Pp_1272,"Multidrug efflux MFS membrane fusion protein, putative",0.008889106
1165,Q88QZ3,Q88QZ3_PSEPK,Waaf,Heptosyltransferase II,0.008863325
1166,Q88L83,Q88L83_PSEPK,Pp_2052,"Hydrolase, haloacid dehalogenase-like family",0.008835707
1167,Q88DC3,Q88DC3_PSEPK,Pp_4904,"Motility protein, MotB family",0.008798072
1168,Q88QI8,Q88QI8_PSEPK,Oprg,Outer membrane protein OprG,0.008739982
1169,Q88MT2,Q88MT2_PSEPK,Pp_1486,"Polyamine ABC transporter, periplasmic polyamine-binding protein",0.008709681
1170,Q88J06,URE3_PSEPK,Urea,Urease subunit gamma,0.008654519
1171,Q88EQ2,Q88EQ2_PSEPK,Bkda1,"2-oxoisovalerate dehydrogenase, alpha subunit",0.008624763
1172,Q88M88,Q88M88_PSEPK,Pp_1686,Glutathione peroxidase,0.008619935
1173,Q88DF2,Q88DF2_PSEPK,Dnab,Replicative DNA helicase,0.008600331
1174,Q88PJ1,Q88PJ1_PSEPK,Pp_0859,Carbon-nitrogen hydrolase family protein,0.008596663
1175,Q88EW6,Q88EW6_PSEPK,Mota,Flagellar motor protein MotA,0.008594499
1176,Q88C17,Q88C17_PSEPK,Lpd3,Dihydrolipoyl dehydrogenase,0.008542464
1177,Q88KS5,Q88KS5_PSEPK,Fadb2x,3-hydroxyacyl-CoA dehydrogenase FadB2x,0.008532634
1178,Q88I45,Q88I45_PSEPK,Pp_3156,Universal stress protein family,0.008528852
1179,Q88DR1,Q88DR1_PSEPK,Tesb,Acyl-CoA thioesterase II,0.008515913
1180,Q88MS4,Q88MS4_PSEPK,Pp_1494,Response regulator/GGDEF domain protein,0.008506646
1181,Q88CI4,Q88CI4_PSEPK,Ubif,"2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase",0.008471444
1182,Q88CM6,Q88CM6_PSEPK,Pp_5154,"Oxidoreductase, FAD-binding, putative",0.008427269
1183,Q88NJ0,RUVB_PSEPK,Ruvb,Holliday junction ATP-dependent DNA helicase RuvB,0.008372788
1184,Q88DT1,Q88DT1_PSEPK,Pp_4738,Uncharacterized protein,0.008352309
1185,Q88EA4,Q88EA4_PSEPK,Pp_4562,Uncharacterized protein,0.008350548
1186,Q88NB6,Q88NB6_PSEPK,Estb,Carboxylesterase,0.008320432
1187,Q88DD2,MIAA_PSEPK,Miaa,tRNA dimethylallyltransferase,0.008315008
1188,Q88C54,Q88C54_PSEPK,Psts,"Phosphate ABC transporter, periplasmic phosphate-binding protein",0.008302789
1189,Q88EB2,Q88EB2_PSEPK,Pp_4554,Uncharacterized protein,0.008293118
1190,Q88QY7,Q88QY7_PSEPK,Pp_0347,Uncharacterized protein,0.008226719
1191,Q88N67,Q88N67_PSEPK,Pp_1348,"MutT/nudix family protein/thiamine-phosphate pyrophosphorylase, putative",0.008200678
1192,Q88N51,Q88N51_PSEPK,Sbcb,Exodeoxyribonuclease I,0.008184662
1193,Q88GB8,Q88GB8_PSEPK,Pp_3806,"Hydrolase, isochorismatase family",0.008179516
1194,Q88RP4,Q88RP4_PSEPK,Pp_0085,Uncharacterized protein,0.008169984
1195,Q88PT6,Q88PT6_PSEPK,Hpra,Glycerate dehydrogenase,0.008144076
1196,P0A175,MNME_PSEPK,Mnme,tRNA modification GTPase MnmE,0.008115826
1197,Q88P82,Q88P82_PSEPK,Pp_0971,Uncharacterized protein,0.008111698
1198,Q88LZ4,Q88LZ4_PSEPK,Rmlc,"dTDP-4-dehydrorhamnose 3,5-epimerase",0.008087082
1199,Q88GA0,Q88GA0_PSEPK,Pp_3825,Uncharacterized protein,0.008047457
1200,Q88QT5,PDXA_PSEPK,Pdxa,4-hydroxythreonine-4-phosphate dehydrogenase,0.008033666
1201,Q88ES6,Q88ES6_PSEPK,Pp_4377,"Flagellin FlaG, putative",0.007931043
1202,Q88LG6,Q88LG6_PSEPK,Pp_1967,"Deoxyribonuclease, TatD family",0.007913314
1203,Q88QI1,Q88QI1_PSEPK,Pp_0512,Uncharacterized protein,0.00788961
1204,Q88QB8,Q88QB8_PSEPK,Pp_0576,"Lipoprotein, putative",0.007887088
1205,Q88EJ2,Q88EJ2_PSEPK,Algz,Alginate biosynthesis transcriptional activator,0.007870468
1206,P59285,ALLA_PSEPK,Alla,Ureidoglycolate lyase,0.007870367
1207,Q88L20,PDXB_PSEPK,Pdxb,Erythronate-4-phosphate dehydrogenase,0.007823301
1208,Q88ED7,Q88ED7_PSEPK,Pp_4528,Uncharacterized protein,0.00781921
1209,Q88PK6,Q88PK6_PSEPK,Isca,Iron-binding protein IscA,0.007811598
1210,Q88FT5,Q88FT5_PSEPK,Pp_3997,"Glycosyl transferase, putative",0.007794007
1211,Q88KT0,PHNW_PSEPK,Phnw,2-aminoethylphosphonate--pyruvate transaminase,0.0077809
1212,Q88NY7,Q88NY7_PSEPK,Pp_1066,Sigma-54 dependent response regulator,0.007739944
1213,Q88LC3,NADK_PSEPK,Nadk,NAD kinase,0.007737447
1214,Q88FS0,Q88FS0_PSEPK,Pp_4013,MutT/nudix family protein,0.007680783
1215,Q88EP9,Q88EP9_PSEPK,Lpdv,Dihydrolipoyl dehydrogenase,0.007662888
1216,Q88CJ5,Q88CJ5_PSEPK,Arge,Acetylornithine deacetylase,0.007661912
1217,Q88QY8,Q88QY8_PSEPK,Pp_0346,"Heptose kinase WapQ, putative",0.007656016
1218,Q88DB9,PSD_PSEPK,Psd,Phosphatidylserine decarboxylase proenzyme,0.007637598
1219,Q88L41,Q88L41_PSEPK,Pp_2094,"Nitrate-binding protein NasS, putative",0.0076257
1220,Q88C58,Q88C58_PSEPK,Phou,Phosphate-specific transport system accessory protein PhoU,0.007595627
1221,Q88QH8,Q88QH8_PSEPK,Ribe-1,"Riboflavin synthase, alpha subunit",0.007576305
1222,Q88CC3,Q88CC3_PSEPK,Pp_5258,Aldehyde dehydrogenase family protein,0.007512053
1223,Q88LN1,Q88LN1_PSEPK,Pp_1898,MotA/TolQ/ExbB proton channel family protein,0.007474684
1224,Q88G91,Q88G91_PSEPK,Pp_3834,Uncharacterized protein,0.007443957
1225,Q88K17,Q88K17_PSEPK,Pp_2476,"Alcohol dehydrogenase, zinc-containing",0.007439265
1226,Q88CT2,Q88CT2_PSEPK,Metw,Methionine biosynthesis protein,0.007428661
1227,Q88KZ2,Q88KZ2_PSEPK,Pp_2147,Uncharacterized protein,0.007426607
1228,Q88CB0,Q88CB0_PSEPK,Lrp,Leucine-responsive regulatory protein,0.007422472
1229,Q88RB8,Q88RB8_PSEPK,Pp_0215,Response regulator,0.007417176
1230,Q88F22,Q88F22_PSEPK,Pp_4277,"Transcriptional regulator, GntR family",0.007409844
1231,Q88RV0,Q88RV0_PSEPK,Czrr-1,DNA-binding response regulator CzrR,0.0074084
1232,Q88L25,Q88L25_PSEPK,Aer-2,Aerotaxis receptor Aer-2,0.007407894
1233,Q88NR8,Q88NR8_PSEPK,Brag,"Branched-chain amino acid ABC transporter, ATP-binding protein",0.007399755
1234,Q88E20,RLMG_PSEPK,Rlmg,Ribosomal RNA large subunit methyltransferase G,0.007392814
1235,Q88CG9,Q88CG9_PSEPK,Pp_5212,"Oxidoreductase, iron-sulfur-binding",0.007309343
1236,Q88EU1,Q88EU1_PSEPK,Pp_4362,Uncharacterized protein,0.007301009
1237,Q88KE9,Q88KE9_PSEPK,Pp_2341,"6-carboxy-5,6,7,8-tetrahydropterin synthase",0.00729808
1238,Q88CB1,DADA2_PSEPK,Dada2,D-amino acid dehydrogenase 2,0.00729204
1239,Q88KZ8,Q88KZ8_PSEPK,Pp_2140,Uncharacterized protein,0.007288654
1240,Q88RR6,Q88RR6_PSEPK,Pp_0063,"Lipid A biosynthesis lauroyl acyltransferase, putative",0.007278641
1241,Q88R01,Q88R01_PSEPK,Pp_0333,Uncharacterized protein,0.007273081
1242,Q88RQ9,TSAC_PSEPK,Tsac,Threonylcarbamoyl-AMP synthase,0.007250332
1243,Q88QJ9,FDHE_PSEPK,Fdhe,Protein FdhE homolog,0.007225963
1244,Q88LD7,Q88LD7_PSEPK,Pp_1998,Uncharacterized protein,0.007218536
1245,Q88LY2,Q88LY2_PSEPK,Pp_1794,Uncharacterized protein,0.007208071
1246,Q88CS1,Q88CS1_PSEPK,Ftsx,Cell division protein FtsX,0.007175865
1247,Q88NR2,Q88NR2_PSEPK,Pp_1143,3-hydroxyisobutyrate dehydrogenase family protein,0.007160299
1248,Q88QS6,Q88QS6_PSEPK,Pp_0412,"Polyamine ABC transporter, periplasmic polyamine-binding protein",0.007130085
1249,Q88D99,Q88D99_PSEPK,Kdta,3-deoxy-D-manno-octulosonic-acid transferase,0.007096571
1250,Q88J55,Q88J55_PSEPK,Pp_2794,"Oxidoreductase, short chain dehydrogenase/reductase family",0.007074206
1251,Q88I92,Q88I92_PSEPK,Pp_3107,Uncharacterized protein,0.007071475
1252,Q88PS4,PTA_PSEPK,Pta,Phosphate acetyltransferase,0.007062575
1253,Q88E52,Q88E52_PSEPK,Pp_4616,Uncharacterized protein,0.007062132
1254,Q88DH9,Q88DH9_PSEPK,Pp_4846,"Phosphinothricin N-acetyltransferase, putative",0.007061736
1255,Q88NG3,Q88NG3_PSEPK,Pp_1246,Conserved domain protein,0.00704346
1256,Q88NH7,Q88NH7_PSEPK,Pp_1232,Putative beta-barrel assembly-enhancing protease,0.007000681
1257,Q88QZ0,Q88QZ0_PSEPK,Waap,Lipopolysaccharide core heptose(I) kinase,0.006990232
1258,Q88DZ6,Q88DZ6_PSEPK,Recd,RecBCD enzyme subunit RecD,0.006969017
1259,Q88E32,Q88E32_PSEPK,Pp_4636,Beta-ketothiolase,0.00693623
1260,Q88D06,Q88D06_PSEPK,Pp_5023,"Amino acid ABC transporter, permease protein",0.00693247
1261,Q88JI5,Q88JI5_PSEPK,Pp_2664,Sensory box histidine kinase/response regulator,0.006923665
1262,Q88KF2,Q88KF2_PSEPK,Prpd,2-methylcitrate dehydratase,0.006919938
1263,Q88QT2,Q88QT2_PSEPK,Pp_0406,Nucleotidyltransferase family protein,0.006915924
1264,Q88I53,Q88I53_PSEPK,Pp_3148,"Glutamine synthetase, putative",0.006909065
1265,Q88ER8,Q88ER8_PSEPK,Flgg,Flagellar basal-body rod protein FlgG,0.006903661
1266,Q88FW9,NHAA2_PSEPK,Nhaa2,Na(+)/H(+) antiporter NhaA 2,0.006878643
1267,Q88CQ5,FPG_PSEPK,Mutm,Formamidopyrimidine-DNA glycosylase,0.006851809
1268,Q88LN6,Q88LN6_PSEPK,Pp_1893,"Acyl-CoA dehydrogenase, putative",0.00683675
1269,Q88GP0,Q88GP0_PSEPK,Pp_3680,Uncharacterized protein,0.00680087
1270,Q88MD2,TTCA_PSEPK,Ttca,tRNA 2-thiocytidine biosynthesis protein TtcA,0.006773929
1271,Q88PG4,Q88PG4_PSEPK,Pp_0886,Uncharacterized protein,0.006750665
1272,Q88DY5,Q88DY5_PSEPK,Mrcb,Penicillin-binding protein 1B,0.00674716
1273,Q88M53,Q88M53_PSEPK,Pp_1721,"Hydrolase, haloacid dehalogenase-like family",0.006728232
1274,Q88EC5,Q88EC5_PSEPK,Ppia,Peptidyl-prolyl cis-trans isomerase,0.006726452
1275,Q88IR9,Q88IR9_PSEPK,Pp_2930,"L-serine dehydratase, putative",0.006694029
1276,Q88CW1,Q88CW1_PSEPK,Trxc,Thioredoxin 2,0.006661361
1277,Q88RG4,Q88RG4_PSEPK,Pp_0166,HlyD family secretion protein,0.006648248
1278,Q88L50,Q88L50_PSEPK,Cmax,CmaX protein,0.00664045
1279,Q88LD8,Q88LD8_PSEPK,Folc,Folylpolyglutamate synthetase,0.006590407
1280,Q88Q70,Q88Q70_PSEPK,Ndh,NADH dehydrogenase,0.006582257
1281,Q88CZ4,Q88CZ4_PSEPK,Hutc,Histidine utilization repressor,0.006572146
1282,Q88RS0,Q88RS0_PSEPK,Pp_0059,"D,D-heptose 1,7-bisphosphate phosphatase",0.006568617
1283,Q88PT3,Q88PT3_PSEPK,Pp_0765,Uncharacterized protein,0.006556993
1284,Q88K38,Q88K38_PSEPK,Rbsb,"Ribose ABC transporter, periplasmic ribose-binding protein",0.006541582
1285,Q88FX0,Q88FX0_PSEPK,Pp_3957,Choline/carnitine/betaine transporter family protein,0.006524676
1286,Q88NX5,Q88NX5_PSEPK,Pp_1078,"ABC transporter, ATP-binding protein, putative",0.006523167
1287,Q88F07,Q88F07_PSEPK,Pp_4293,Uncharacterized protein,0.006517027
1288,Q88QG5,EX7S_PSEPK,Xseb,Exodeoxyribonuclease 7 small subunit,0.006505929
1289,Q88G93,CSRA_PSEPK,Csra,Carbon storage regulator homolog,0.006493887
1290,Q88KY5,Q88KY5_PSEPK,Lolc,"Lipoprotein releasing system, permease protein",0.006479612
1291,Q88EJ1,Q88EJ1_PSEPK,Mgte,Magnesium transporter MgtE,0.006464268
1292,Q88D44,Q88D44_PSEPK,Bioa,Adenosylmethionine-8-amino-7-oxononanoate aminotransferase,0.006427518
1293,Q88CX3,Q88CX3_PSEPK,Pp_5057,"Peptidase, M23/M37 family",0.006423608
1294,Q88Q06,Q88Q06_PSEPK,Crea,CreA protein,0.006398433
1295,Q88KX0,DUSA_PSEPK,Dusa,tRNA-dihydrouridine(20/20a) synthase,0.006380138
1296,Q88H56,Q88H56_PSEPK,Pp_3509,Glyoxalase family protein,0.006372122
1297,Q88DM6,Q88DM6_PSEPK,Pp_4799,"Muramoyltetrapeptide carboxypeptidase, putative",0.006335763
1298,Q88C69,Q88C69_PSEPK,Rubb,Rubredoxin reductase,0.006276506
1299,Q88EY1,Q88EY1_PSEPK,Dsbe,Thiol:disulfide interchange protein DsbE,0.006227705
1300,Q88D82,Q88D82_PSEPK,Rlmj,Ribosomal RNA large subunit methyltransferase J,0.006198551
1301,Q88GG3,Q88GG3_PSEPK,Pp_3761,Sensor histidine kinase/response regulator,0.006192374
1302,P59392,SELD_PSEPK,Seld,"Selenide, water dikinase",0.006189476
1303,Q88PI1,Q88PI1_PSEPK,Pp_0869,"Glycine betaine/carnitine/choline ABC transporter, permease protein, putative",0.00618639
1304,Q88FT7,Q88FT7_PSEPK,Pp_3995,Uncharacterized protein,0.006185775
1305,Q88NX9,Q88NX9_PSEPK,Glpr,Glycerol-3-phosphate regulon repressor,0.00617467
1306,Q88LT9,Q88LT9_PSEPK,Pp_1838,Uncharacterized protein,0.006145781
1307,Q88QJ8,SELA_PSEPK,Sela,L-seryl-tRNA(Sec) selenium transferase,0.006144551
1308,Q88CQ4,Q88CQ4_PSEPK,Pp_5126,Uncharacterized protein,0.006139226
1309,Q88R13,Q88R13_PSEPK,Pp_0321,L-threonine aldolase,0.006139005
1310,Q88GG7,Q88GG7_PSEPK,Pp_3757,Response regulator,0.006120123
1311,Q88I93,Q88I93_PSEPK,Pp_3106,Uncharacterized protein,0.006116769
1312,Q88PH1,Q88PH1_PSEPK,Dppd,"Dipeptide ABC transporter, ATP-binding protein",0.006110307
1313,Q88M18,Q88M18_PSEPK,Bola,BolA protein,0.006107953
1314,Q88NW6,Q88NW6_PSEPK,Pp_1087,"Outer membrane protein, OmpA family",0.006096877
1315,Q88KX9,QUEF_PSEPK,Quef,NADPH-dependent 7-cyano-7-deazaguanine reductase,0.006063394
1316,Q88I61,Q88I61_PSEPK,Pp_3140,"Glycosyl transferase, group 2 family protein",0.006053009
1317,Q88CE9,Q88CE9_PSEPK,Pp_5232,Uncharacterized protein,0.006008841
1318,Q88GL5,Q88GL5_PSEPK,Pp_3706,Uncharacterized protein,0.005991822
1319,Q88M41,MINC_PSEPK,Minc,Probable septum site-determining protein MinC,0.005983797
1320,Q88KX4,Q88KX4_PSEPK,Pp_2165,Response regulator,0.005978741
1321,Q88NJ8,Q88NJ8_PSEPK,Pp_1209,Cold-shock domain family protein,0.005969883
1322,Q88NF0,Q88NF0_PSEPK,Pp_1262,"Transcriptional regulator, LysR family",0.005941899
1323,Q88RR3,RSMB_PSEPK,Rsmb,Ribosomal RNA small subunit methyltransferase B,0.00591853
1324,Q88KI3,Q88KI3_PSEPK,Pp_2307,Uncharacterized protein,0.005917061
1325,Q88IC8,Q88IC8_PSEPK,Pp_3071,"Acetoacetyl-CoA synthetase, putative",0.005912622
1326,Q88G02,Q88G02_PSEPK,Pp_3924,Uncharacterized protein,0.005906337
1327,Q88D41,Q88D41_PSEPK,Pp_4987,"Chemotaxis protein, putative",0.005891412
1328,Q88FR8,HFLD_PSEPK,Hfld,High frequency lysogenization protein HflD homolog,0.005879692
1329,Q88DF7,PNCB_PSEPK,Pncb,Nicotinate phosphoribosyltransferase,0.005877682
1330,Q88LN5,Q88LN5_PSEPK,Pp_1894,Glutathione S-transferase family protein,0.005862069
1331,Q88PE9,Q88PE9_PSEPK,Colr,DNA-binding response regulator ColR,0.00584583
1332,Q88J04,URE1_PSEPK,Urec,Urease subunit alpha,0.005843177
1333,Q88PJ2,Q88PJ2_PSEPK,Pp_0858,"Aminotransferase, class I",0.005834929
1334,Q88DJ8,Q88DJ8_PSEPK,Cobi,Precorrin-2 C20-methyltransferase,0.005832261
1335,Q88QQ4,ANMK_PSEPK,Anmk,Anhydro-N-acetylmuramic acid kinase,0.005810178
1336,Q88FT9,Q88FT9_PSEPK,Dsre,DsrE protein,0.005799196
1337,Q88JH1,Q88JH1_PSEPK,Pp_2678,"Hydrolase, putative",0.005774989
1338,Q88MU3,Q88MU3_PSEPK,Pp_1475,CAIB/BAIF family protein,0.005712861
1339,Q88KY3,Q88KY3_PSEPK,Lole,"Lipoprotein releasing system, permease protein",0.005658563
1340,Q88D84,Q88D84_PSEPK,Pp_4943,"Glycosyl transferase, putative",0.005647039
1341,Q88N10,Q88N10_PSEPK,Pp_1406,Uncharacterized protein,0.005617621
1342,Q88GE9,Q88GE9_PSEPK,Pp_3775,"Sarcosine oxidase, putative",0.005617065
1343,Q88MP7,Q88MP7_PSEPK,Pp_1523,Uncharacterized protein,0.005614199
1344,Q88R73,Q88R73_PSEPK,Cysq,"3'(2'),5'-bisphosphate nucleotidase",0.005611886
1345,Q88N37,Q88N37_PSEPK,Pcab,"3-carboxy-cis,cis-muconate cycloisomerase",0.005562874
1346,Q88I28,Q88I28_PSEPK,Pp_3174,"Oxidoreductase, putative",0.005551176
1347,Q88MR3,Q88MR3_PSEPK,Pp_1507,Uncharacterized protein,0.005548627
1348,Q88MC9,Q88MC9_PSEPK,Wrba,NAD(P)H dehydrogenase (quinone),0.005542507
1349,Q88FD1,Q88FD1_PSEPK,Sixa,Phosphohistidine phosphatase SixA,0.005534818
1350,Q88ES2,Q88ES2_PSEPK,Flgk,Flagellar hook-associated protein FlgK,0.005529802
1351,Q88CW2,Y5068_PSEPK,Pp_5068,UPF0061 protein PP_5068,0.005496807
1352,Q88I78,Q88I78_PSEPK,Pp_3123,"CoA-transferase, subunit B, putative",0.005462387
1353,Q88LU5,Q88LU5_PSEPK,Pp_1832,"1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase",0.005455302
1354,Q88MH0,LPXD_PSEPK,Lpxd,UDP-3-O-acylglucosamine N-acyltransferase,0.005453502
1355,Q88NQ3,Q88NQ3_PSEPK,Pp_1152,"Membrane fusion protein, putative",0.005444052
1356,Q88JI0,Q88JI0_PSEPK,Pp_2669,"Outer membrane protein, putative",0.00543478
1357,Q88C52,Q88C52_PSEPK,Pp_5331,Long-chain acyl-CoA thioester hydrolase family protein,0.005413311
1358,Q88QG6,Q88QG6_PSEPK,Ispa,Geranyltranstransferase,0.005408589
1359,Q88QB6,Q88QB6_PSEPK,Pp_0578,"Methyltransferase, putative",0.005361299
1360,Q88KC9,Q88KC9_PSEPK,Csuc,Type 1 pili usher pathway chaperone CsuC,0.005357365
1361,Q88LL2,Q88LL2_PSEPK,Pp_1918,Uncharacterized protein,0.005338235
1362,Q88L82,Q88L82_PSEPK,Pp_2053,Uncharacterized protein,0.00532478
1363,Q88CU0,Q88CU0_PSEPK,Pp_5090,Uncharacterized protein,0.005251279
1364,Q88MF0,PIMT_PSEPK,Pcm,Protein-L-isoaspartate O-methyltransferase,0.005244351
1365,Q88EG2,Q88EG2_PSEPK,Pp_4503,DNA-binding response regulator,0.005214565
1366,Q88J23,Q88J23_PSEPK,Mext,Transcriptional regulator MexT,0.005212371
1367,Q88DJ1,Q88DJ1_PSEPK,Pp_4834,SPFH domain/Band 7 family protein,0.005210763
1368,Q88LG2,Q88LG2_PSEPK,Pp_1971,Uncharacterized protein,0.005206596
1369,Q88R71,Q88R71_PSEPK,Pp_0263,Sigma-54 dependent response regulator,0.005205904
1370,Q88MG7,LPXB_PSEPK,Lpxb,Lipid-A-disaccharide synthase,0.005202094
1371,Q88PS6,Q88PS6_PSEPK,Pp_0772,Metallo-beta-lactamase family protein,0.005191351
1372,Q88C33,Q88C33_PSEPK,Pp_5350,"Transcriptional regulator, RpiR family",0.005191312
1373,Q88I47,Q88I47_PSEPK,Pp_3154,Uncharacterized protein,0.005190492
1374,Q88E47,HGD_PSEPK,Hmga,"Homogentisate 1,2-dioxygenase",0.005160463
1375,Q88DI0,Q88DI0_PSEPK,Pp_4845,"Branched-chain amino acid ABC transporter, ATP-binding protein, putative",0.005143266
1376,Q88NI6,Q88NI6_PSEPK,Tola,Biopolymer transport protein TolA,0.005125462
1377,Q88GX6,Q88GX6_PSEPK,Pp_3591,"Malate dehydrogenase, putative",0.005107452
1378,Q88ND8,Q88ND8_PSEPK,Pp_1274,"Oxidoreductase, short-chain dehydrogenase/reductase family",0.00510291
1379,Q88PX4,LOLB_PSEPK,Lolb,Outer-membrane lipoprotein LolB,0.005076677
1380,Q88N16,Q88N16_PSEPK,Pp_1400,Dicarboxylate MFS transporter,0.005050678
1381,Q88FS8,FTSK_PSEPK,Ftsk,DNA translocase FtsK,0.005041244
1382,Q88MM2,Q88MM2_PSEPK,Pp_1549,"Transcriptional regulator, Cro/CI family",0.005027075
1383,Q88NT4,Q88NT4_PSEPK,Pp_1120,Uncharacterized protein,0.005006464
1384,Q88NM3,Q88NM3_PSEPK,Pp_1184,Dienelactone hydrolase family protein,0.00497685
1385,Q88D89,Q88D89_PSEPK,Pp_4938,"Glycosyl transferase, putative",0.004933609
1386,Q88C77,Q88C77_PSEPK,Exbb,Ferric siderophore transport system protein ExbB,0.004929223
1387,Q88QH9,Q88QH9_PSEPK,Ribd,Riboflavin biosynthesis protein RibD,0.004881126
1388,Q88P27,Q88P27_PSEPK,Pp_1026,"Peptidase, M23/M37 family",0.00486682
1389,Q88P40,Q88P40_PSEPK,Pp_1013,Histidine kinase,0.004865926
1390,Q88E89,Y4577_PSEPK,Pp_4577,UPF0271 protein PP_4577,0.004862585
1391,Q88MF2,TRUD_PSEPK,Trud,tRNA pseudouridine synthase D,0.004862574
1392,Q88DL5,NADD_PSEPK,Nadd,Probable nicotinate-nucleotide adenylyltransferase,0.004831075
1393,Q88KB0,Q88KB0_PSEPK,Pp_2380,Uncharacterized protein,0.004818077
1394,Q88DS7,Q88DS7_PSEPK,Hsds,"Type I restriction-modification system, S subunit",0.00478273
1395,Q88MH3,Q88MH3_PSEPK,Pp_1598,Zinc metalloprotease,0.004780293
1396,Q88D63,Q88D63_PSEPK,Epd,D-erythrose-4-phosphate dehydrogenase,0.004772936
1397,Q88R46,Q88R46_PSEPK,Pp_0288,"Oxalate/formate antiporter, putative",0.0047258
1398,Q88PQ8,Q88PQ8_PSEPK,Pp_0790,Inner membrane protein AmpE,0.004723393
1399,Q88RK9,Q88RK9_PSEPK,Pp_0120,"Zinc ABC transporter, periplasmic zinc-binding protein ZnuA, putative",0.00469991
1400,Q88EV7,Q88EV7_PSEPK,Pp_4345,"Transcriptional regulator, GntR family",0.004677384
1401,Q88CK9,Q88CK9_PSEPK,Cysp,"Sulfate ABC transporter, periplasmic sulfate-binding protein",0.004670425
1402,Q88I46,Q88I46_PSEPK,Pp_3155,"Outer membrane ferric siderophore receptor, putative",0.00466318
1403,Q88DA4,Q88DA4_PSEPK,Pp_4923,Outer membrane efflux protein,0.004646927
1404,Q88NS5,PDXH_PSEPK,Pdxh,Pyridoxine/pyridoxamine 5'-phosphate oxidase,0.00463591
1405,Q88LG5,Q88LG5_PSEPK,Pp_1968,"Transcriptional regulator, TetR family",0.004635642
1406,Q88LB1,Q88LB1_PSEPK,Sbcc,Exonuclease SbcC,0.004623011
1407,Q88ES8,Q88ES8_PSEPK,Flis,Flagellar biosynthetis protein FliS,0.004622872
1408,Q88GG9,Q88GG9_PSEPK,Paah,3-hydroxybutyryl-CoA dehydrogenase,0.00462161
1409,Q88CR0,Q88CR0_PSEPK,Pp_5120,Aldehyde dehydrogenase,0.004596387
1410,Q88IA7,Q88IA7_PSEPK,Pp_3092,Uncharacterized protein,0.004574143
1411,Q88E11,Q88E11_PSEPK,Pp_4657,"Metallopeptidase, zinc binding",0.004564946
1412,Q88MB7,Q88MB7_PSEPK,Pp_1657,MazG family protein,0.004562513
1413,Q88CA7,Q88CA7_PSEPK,Pp_5274,Uncharacterized protein,0.004552807
1414,Q88L14,Q88L14_PSEPK,Moea,Molybdopterin biosynthesis MoeA protein,0.004539677
1415,Q88NI9,Q88NI9_PSEPK,Pp_1218,Uncharacterized protein,0.004529391
1416,Q88EY0,Q88EY0_PSEPK,Ccmf,Cytochrome c-type biogenesis protein CcmF,0.004519558
1417,Q88IS4,MQO3_PSEPK,Mqo3,Probable malate:quinone oxidoreductase 3,0.004516267
