Protein.Group,Protein.Names,Protein,Protein.Description,%_of protein_abundance_Top3-method,Rank
PP_2666,Q88JI3_PSEPK,Pp_2666,Uncharacterized protein,0.010249729166666667,1081.0
gltJ,Q88NY3_PSEPK,Pp_1070,"Amino acid ABC transporter, permease protein",0.010242283857142858,1082.0
pucL,Q88F12_PSEPK,Pp_4287,Uncharacterized protein,0.010224101222222223,1083.0
PP_3988,Q88FU4_PSEPK,Pp_3988,Uncharacterized protein,0.010197303611111111,1084.0
aroE,Q88RQ5_PSEPK,Aroe-1,Shikimate dehydrogenase (NADP(+)),0.010196515555555556,1085.0
PP_4969,Q88D58_PSEPK,Pp_4969,Uncharacterized protein,0.01019361661111111,1086.0
PP_1658,Q88MB6_PSEPK,Pp_1658,Uncharacterized protein,0.0101715825,1087.0
PP_2449,Q88K43_PSEPK,Pp_2449,Uncharacterized protein,0.01015619238888889,1088.0
PP_3186,Q88I16_PSEPK,Pp_3186,"Transcriptional activator, putative",0.01014641438888889,1089.0
yejA,Q88FF0_PSEPK,Pp_4147,"Peptide ABC transporter, periplamic peptide-binding protein",0.010138199166666667,1090.0
PP_0777,Q88PS1_PSEPK,Pp_0777,Glutathione peroxidase,0.010093041444444444,1091.0
PP_3547,Q88H18_PSEPK,Pp_3547,"Oxidoreductase, short chain dehydrogenase/reductase family",0.010083138277777778,1092.0
cti,Q88KB4_PSEPK,Cti,Esterified fatty acid cis/trans isomerase,0.010079269444444445,1093.0
cpoB,Y1224_PSEPK,Pp_1224,Uncharacterized protein PP_1224,0.0100754545,1094.0
fusB,EFG2_PSEPK,Fusb,Elongation factor G 2,0.010062931,1095.0
surE,SURE_PSEPK,Sure,5'-nucleotidase SurE,0.010055519142857143,1096.0
yheS,Q88RD6_PSEPK,Pp_0196,"ABC transporter, ATP-binding protein, putative",0.010044130944444445,1097.0
pcaD,Q88N36_PSEPK,Pcad,3-oxoadipate enol-lactone hydrolase,0.010013343444444444,1098.0
PP_0500,Q88QJ2_PSEPK,Pp_0500,dTDP-4-rhamnose reductase-related protein,0.010012904611111111,1099.0
PP_4692,Q88DX6_PSEPK,Pp_4692,"Aminotransferase, class I",0.0099647665,1100.0
PP_3100,Q88I99_PSEPK,Pp_3100,Uncharacterized protein,0.009947058818181817,1101.0
PP_4817,Q88DK8_PSEPK,Pp_4817,MaoC domain protein,0.009944691666666667,1102.0
nicB,NICB_PSEPK,Nicb,Nicotinate dehydrogenase subunit B,0.009915312222222222,1103.0
PP_3359,Q88HJ7_PSEPK,Pp_3359,"Hydroxycinnamic acid degradation regulator, putative",0.009901657142857142,1104.0
rlmE,RLME_PSEPK,Rlme,Ribosomal RNA large subunit methyltransferase E,0.009900430555555555,1105.0
moeB,Q88PW3_PSEPK,Pp_0735,"Molybdopterin biosynthesis MoeB protein, putative",0.009878922388888888,1106.0
PP_0749,Q88PU9_PSEPK,Pp_0749,Uncharacterized protein,0.0098481225,1107.0
PP_3707,Q88GL4_PSEPK,Pp_3707,Uncharacterized protein,0.00983297861111111,1108.0
PP_2536,Q88JW1_PSEPK,Pp_2536,Glutathione S-transferase family protein,0.009779708444444445,1109.0
PP_3705,Q88GL6_PSEPK,Pp_3705,Uncharacterized protein,0.009763344,1110.0
apaG,APAG_PSEPK,Apag,Protein ApaG,0.009759143388888888,1111.0
PP_0173,Q88RF7_PSEPK,Pp_0173,Transcriptional factor-related protein,0.009756698555555556,1112.0
ccoO-I,Q88F48_PSEPK,Ccoo-1,"Cytochrome c oxidase, cbb3-type, subunit II",0.009747811666666667,1113.0
csdA,CSD_PSEPK,Csda,Probable cysteine desulfurase,0.009734620833333334,1114.0
lolD,LOLD_PSEPK,Lold,Lipoprotein-releasing system ATP-binding protein LolD,0.009713258388888889,1115.0
PP_1398,Q88N18_PSEPK,Pp_1398,Uncharacterized protein,0.009701568714285713,1116.0
ccoN-II,Q88F44_PSEPK,Ccon-2,"Cytochrome c oxidase, cbb3-type, subunit I",0.009701491277777778,1117.0
folM,Q88E36_PSEPK,Pp_4632,"Oxidoreductase, short-chain dehydrogenase/reductase family",0.009699542166666667,1118.0
csoR,Q88IN0_PSEPK,Pp_2969,Uncharacterized protein,0.009687548,1119.0
PP_0914,Q88PD6_PSEPK,Pp_0914,GGDEF domain protein,0.009683000444444444,1120.0
opdT-I,Q88RT3_PSEPK,Pp_0046,"Porin, putative",0.009681531611111112,1121.0
hmgC,Q88E49_PSEPK,Pp_4619,"Maleylacetoacetate isomerase, putative",0.009677239722222222,1122.0
PP_5114,Q88CR6_PSEPK,Pp_5114,Ribosomal RNA small subunit methyltransferase D,0.009643254777777778,1123.0
PP_0111,Q88RL8_PSEPK,Pp_0111,Sco1/SenC family protein,0.009587519722222222,1124.0
rsgA,RSGA_PSEPK,Rsga,Putative ribosome biogenesis GTPase RsgA,0.009563793277777777,1125.0
phnX,PHNX_PSEPK,Phnx,Phosphonoacetaldehyde hydrolase,0.00956364788888889,1126.0
PP_5332,Q88C51_PSEPK,Pp_5332,Uncharacterized protein,0.009557764166666666,1127.0
motA,Q88DC2_PSEPK,Pp_4905,"Motility protein, MotA family",0.009536731785714287,1128.0
opgH,OPGH_PSEPK,Opgh,Glucans biosynthesis glucosyltransferase H,0.009497486722222222,1129.0
PP_4199,Q88F99_PSEPK,Pp_4199,"Lipoprotein, putative",0.009474399055555556,1130.0
rnk,Q88CF8_PSEPK,Rnk,Nucleoside diphosphate kinase regulator,0.009470459277777779,1131.0
bkdAB,Q88EQ1_PSEPK,Bkda2,"2-oxoisovalerate dehydrogenase, beta subunit",0.009453396277777778,1132.0
PP_1214,Y1214_PSEPK,Pp_1214,Probable transcriptional regulatory protein PP_1214,0.009373023000000001,1133.0
prmC,Q88PW4_PSEPK,Hemk,Release factor glutamine methyltransferase,0.009366073888888889,1134.0
PP_4819,Q88DK6_PSEPK,Pp_4819,Uncharacterized protein,0.009356074833333332,1135.0
gloB,GLO2_PSEPK,Glob,Hydroxyacylglutathione hydrolase,0.009338972666666667,1136.0
glnD,GLND_PSEPK,Glnd,Bifunctional uridylyltransferase/uridylyl-removing enzyme,0.00932692322222222,1137.0
PP_0140,Q88RI9_PSEPK,Pp_0140,Uncharacterized protein,0.009303166555555555,1138.0
panB,PANB_PSEPK,Panb,3-methyl-2-oxobutanoate hydroxymethyltransferase,0.009301180818181818,1139.0
rnd,Q88E75_PSEPK,Rnd,Ribonuclease D,0.009299623277777778,1140.0
rhlB,RHLB_PSEPK,Rhlb,ATP-dependent RNA helicase RhlB,0.009295090222222222,1141.0
PP_0747,Q88PV1_PSEPK,Pp_0747,"Hypoxanthine phosphoribosyltransferase, putative",0.009294371333333334,1142.0
PP_3527,Q88H38_PSEPK,Pp_3527,"Transcriptional regulator, TetR family",0.009253879,1143.0
PP_2305,Q88KI5_PSEPK,Pp_2305,Uncharacterized protein,0.009253285,1144.0
bglX,Q88N13_PSEPK,Bglx,Periplasmic beta-glucosidase,0.009235665333333332,1145.0
cc,Q88RK3_PSEPK,Pp_0126,Cytochrome c4,0.00921146461111111,1146.0
gcvP2,GCSP2_PSEPK,Gcvp2,Glycine dehydrogenase (decarboxylating) 2,0.009193976111111111,1147.0
PP_5100,NTPA_PSEPK,Pp_5100,Non-canonical purine NTP pyrophosphatase,0.0091729175,1148.0
PP_4334,Q88EW8_PSEPK,Pp_4334,ParA family protein,0.009172816785714286,1149.0
PP_4555,Q88EB1_PSEPK,Pp_4555,Uncharacterized protein,0.009142917111111112,1150.0
gpx,Q88LQ5_PSEPK,Pp_1874,Glutathione peroxidase,0.009129556555555555,1151.0
agmR,Q88JI4_PSEPK,Agmr,DNA-binding response regulator AgmR,0.009102841277777779,1152.0
rpoE,Q88MZ1_PSEPK,Algt,RNA polymerase sigma factor,0.009096035222222222,1153.0
yhfA,Q88QR3_PSEPK,Pp_0425,Uncharacterized protein,0.0090653235,1154.0
hexR,HEXR_PSEPK,Hexr,HTH-type transcriptional regulator HexR,0.00904278,1155.0
betX,Q88M34_PSEPK,Pp_1741,"Glycine betaine-binding protein, putative",0.009040862055555555,1156.0
PP_4268,Y4268_PSEPK,Pp_4268,Nucleoid-associated protein PP_4268,0.009007149666666665,1157.0
PP_5273,Q88CA8_PSEPK,Pp_5273,"Oxidoreductase, putative",0.008963970277777778,1158.0
pitB,Q88N43_PSEPK,Pp_1373,Low-affinity inorganic phosphate transporter,0.008914777666666667,1159.0
ubiK,Q88CE6_PSEPK,Pp_5235,Uncharacterized protein,0.008905498277777778,1160.0
PP_4856,Q88DG9_PSEPK,Pp_4856,"Bacterioferritin, putative",0.008899157277777778,1161.0
PP_1272,Q88NE0_PSEPK,Pp_1272,"Multidrug efflux MFS membrane fusion protein, putative",0.008889105944444444,1162.0
waaF,Q88QZ3_PSEPK,Waaf,Heptosyltransferase II,0.008863325277777778,1163.0
PP_2052,Q88L83_PSEPK,Pp_2052,"Hydrolase, haloacid dehalogenase-like family",0.008835707333333333,1164.0
motB,Q88DC3_PSEPK,Pp_4904,"Motility protein, MotB family",0.008798072277777779,1165.0
oprG,Q88QI8_PSEPK,Oprg,Outer membrane protein OprG,0.008739982388888888,1166.0
ydcS,Q88MT2_PSEPK,Pp_1486,"Polyamine ABC transporter, periplasmic polyamine-binding protein",0.008709681444444443,1167.0
ureA,URE3_PSEPK,Urea,Urease subunit gamma,0.008654519166666666,1168.0
bkdAA,Q88EQ2_PSEPK,Bkda1,"2-oxoisovalerate dehydrogenase, alpha subunit",0.008624763388888889,1169.0
PP_1686,Q88M88_PSEPK,Pp_1686,Glutathione peroxidase,0.008619935055555555,1170.0
dnaB,Q88DF2_PSEPK,Dnab,Replicative DNA helicase,0.008600331222222223,1171.0
PP_0859,Q88PJ1_PSEPK,Pp_0859,Carbon-nitrogen hydrolase family protein,0.008596663333333332,1172.0
PP_4336,Q88EW6_PSEPK,Mota,Flagellar motor protein MotA,0.008594498666666665,1173.0
lpd,Q88C17_PSEPK,Lpd3,Dihydrolipoyl dehydrogenase,0.008542463722222221,1174.0
fadBA,Q88KS5_PSEPK,Fadb2x,3-hydroxyacyl-CoA dehydrogenase FadB2x,0.00853263411111111,1175.0
PP_3156,Q88I45_PSEPK,Pp_3156,Universal stress protein family,0.008528852428571428,1176.0
tesB,Q88DR1_PSEPK,Tesb,Acyl-CoA thioesterase II,0.008515913111111112,1177.0
PP_1494,Q88MS4_PSEPK,Pp_1494,Response regulator/GGDEF domain protein,0.008506645611111112,1178.0
visC,Q88CI4_PSEPK,Ubif,"2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase",0.00847144438888889,1179.0
PP_5154,Q88CM6_PSEPK,Pp_5154,"Oxidoreductase, FAD-binding, putative",0.008427269222222221,1180.0
ruvB,RUVB_PSEPK,Ruvb,Holliday junction ATP-dependent DNA helicase RuvB,0.008372787611111111,1181.0
PP_4738,Q88DT1_PSEPK,Pp_4738,Uncharacterized protein,0.008352309222222222,1182.0
PP_4562,Q88EA4_PSEPK,Pp_4562,Uncharacterized protein,0.008350547888888888,1183.0
estB,Q88NB6_PSEPK,Estb,Carboxylesterase,0.00832043188888889,1184.0
miaA,MIAA_PSEPK,Miaa,tRNA dimethylallyltransferase,0.008315007777777779,1185.0
PP_5329,Q88C54_PSEPK,Psts,"Phosphate ABC transporter, periplasmic phosphate-binding protein",0.008302788611111112,1186.0
PP_4554,Q88EB2_PSEPK,Pp_4554,Uncharacterized protein,0.008293118277777779,1187.0
PP_0347,Q88QY7_PSEPK,Pp_0347,Uncharacterized protein,0.008226718888888889,1188.0
PP_1348,Q88N67_PSEPK,Pp_1348,"MutT/nudix family protein/thiamine-phosphate pyrophosphorylase, putative",0.008200678333333333,1189.0
sbcB,Q88N51_PSEPK,Sbcb,Exodeoxyribonuclease I,0.008184661722222222,1190.0
PP_3806,Q88GB8_PSEPK,Pp_3806,"Hydrolase, isochorismatase family",0.008179515833333333,1191.0
PP_0085,Q88RP4_PSEPK,Pp_0085,Uncharacterized protein,0.008169984,1192.0
hprA,Q88PT6_PSEPK,Hpra,Glycerate dehydrogenase,0.008144076333333333,1193.0
mnmE,MNME_PSEPK,Mnme,tRNA modification GTPase MnmE,0.008115825666666666,1194.0
PP_0971,Q88P82_PSEPK,Pp_0971,Uncharacterized protein,0.008111698222222222,1195.0
rfbC,Q88LZ4_PSEPK,Rmlc,"dTDP-4-dehydrorhamnose 3,5-epimerase",0.008087081666666667,1196.0
PP_3825,Q88GA0_PSEPK,Pp_3825,Uncharacterized protein,0.008047457499999999,1197.0
pdxA,PDXA_PSEPK,Pdxa,4-hydroxythreonine-4-phosphate dehydrogenase,0.00803366561111111,1198.0
PP_4377,Q88ES6_PSEPK,Pp_4377,"Flagellin FlaG, putative",0.007931042944444446,1199.0
ycfH,Q88LG6_PSEPK,Pp_1967,"Deoxyribonuclease, TatD family",0.007913313833333333,1200.0
PP_0512,Q88QI1_PSEPK,Pp_0512,Uncharacterized protein,0.00788960961111111,1201.0
PP_0576,Q88QB8_PSEPK,Pp_0576,"Lipoprotein, putative",0.007887087555555556,1202.0
PP_4470,Q88EJ2_PSEPK,Algz,Alginate biosynthesis transcriptional activator,0.007870467545454545,1203.0
allA,ALLA_PSEPK,Alla,Ureidoglycolate lyase,0.007870366722222223,1204.0
pdxB,PDXB_PSEPK,Pdxb,Erythronate-4-phosphate dehydrogenase,0.007823300666666666,1205.0
PP_4528,Q88ED7_PSEPK,Pp_4528,Uncharacterized protein,0.00781920975,1206.0
iscA,Q88PK6_PSEPK,Isca,Iron-binding protein IscA,0.00781159825,1207.0
PP_3997,Q88FT5_PSEPK,Pp_3997,"Glycosyl transferase, putative",0.007794006722222222,1208.0
phnW,PHNW_PSEPK,Phnw,2-aminoethylphosphonate--pyruvate transaminase,0.007780899888888889,1209.0
dctD-II,Q88NY7_PSEPK,Pp_1066,Sigma-54 dependent response regulator,0.0077399443333333335,1210.0
nadK,NADK_PSEPK,Nadk,NAD kinase,0.007737447166666667,1211.0
nudJ,Q88FS0_PSEPK,Pp_4013,MutT/nudix family protein,0.007680782555555555,1212.0
lpdV,Q88EP9_PSEPK,Lpdv,Dihydrolipoyl dehydrogenase,0.0076628883888888895,1213.0
argE,Q88CJ5_PSEPK,Arge,Acetylornithine deacetylase,0.007661912055555557,1214.0
PP_0346,Q88QY8_PSEPK,Pp_0346,"Heptose kinase WapQ, putative",0.007656016444444445,1215.0
psd,PSD_PSEPK,Psd,Phosphatidylserine decarboxylase proenzyme,0.007637597555555556,1216.0
PP_2094,Q88L41_PSEPK,Pp_2094,"Nitrate-binding protein NasS, putative",0.0076256997777777785,1217.0
phoU,Q88C58_PSEPK,Phou,Phosphate-specific transport system accessory protein PhoU,0.007595627055555556,1218.0
ribE,Q88QH8_PSEPK,Ribe-1,"Riboflavin synthase, alpha subunit",0.007576304944444445,1219.0
amaB,Q88CC3_PSEPK,Pp_5258,Aldehyde dehydrogenase family protein,0.0075120529444444445,1220.0
PP_1898,Q88LN1_PSEPK,Pp_1898,MotA/TolQ/ExbB proton channel family protein,0.007474683888888889,1221.0
PP_3834,Q88G91_PSEPK,Pp_3834,Uncharacterized protein,0.0074439565,1222.0
curA,Q88K17_PSEPK,Pp_2476,"Alcohol dehydrogenase, zinc-containing",0.007439264944444445,1223.0
metW,Q88CT2_PSEPK,Metw,Methionine biosynthesis protein,0.007428661166666666,1224.0
PP_2147,Q88KZ2_PSEPK,Pp_2147,Uncharacterized protein,0.007426607277777778,1225.0
lrp,Q88CB0_PSEPK,Lrp,Leucine-responsive regulatory protein,0.007422471944444444,1226.0
PP_0215,Q88RB8_PSEPK,Pp_0215,Response regulator,0.007417176055555556,1227.0
PP_4277,Q88F22_PSEPK,Pp_4277,"Transcriptional regulator, GntR family",0.007409844388888889,1228.0
czcR-I,Q88RV0_PSEPK,Czrr-1,DNA-binding response regulator CzrR,0.007408399777777778,1229.0
PP_2111,Q88L25_PSEPK,Aer-2,Aerotaxis receptor Aer-2,0.007407894,1230.0
livF-I,Q88NR8_PSEPK,Brag,"Branched-chain amino acid ABC transporter, ATP-binding protein",0.007399755055555556,1231.0
rlmG,RLMG_PSEPK,Rlmg,Ribosomal RNA large subunit methyltransferase G,0.00739281361111111,1232.0
PP_5212,Q88CG9_PSEPK,Pp_5212,"Oxidoreductase, iron-sulfur-binding",0.0073093428888888895,1233.0
PP_4362,Q88EU1_PSEPK,Pp_4362,Uncharacterized protein,0.0073010085,1234.0
queD,Q88KE9_PSEPK,Pp_2341,"6-carboxy-5,6,7,8-tetrahydropterin synthase",0.007298079714285715,1235.0
dadA2,DADA2_PSEPK,Dada2,D-amino acid dehydrogenase 2,0.007292040277777777,1236.0
PP_2140,Q88KZ8_PSEPK,Pp_2140,Uncharacterized protein,0.007288653944444444,1237.0
PP_0063,Q88RR6_PSEPK,Pp_0063,"Lipid A biosynthesis lauroyl acyltransferase, putative",0.007278640833333332,1238.0
PP_0333,Q88R01_PSEPK,Pp_0333,Uncharacterized protein,0.007273081166666667,1239.0
tsaC,TSAC_PSEPK,Tsac,Threonylcarbamoyl-AMP synthase,0.007250332111111111,1240.0
fdhE,FDHE_PSEPK,Fdhe,Protein FdhE homolog,0.007225962611111112,1241.0
dedD,Q88LD7_PSEPK,Pp_1998,Uncharacterized protein,0.007218535944444445,1242.0
PP_1794,Q88LY2_PSEPK,Pp_1794,Uncharacterized protein,0.007208071333333333,1243.0
ftsX,Q88CS1_PSEPK,Ftsx,Cell division protein FtsX,0.007175864722222223,1244.0
PP_1143,Q88NR2_PSEPK,Pp_1143,3-hydroxyisobutyrate dehydrogenase family protein,0.007160298722222222,1245.0
PP_0412,Q88QS6_PSEPK,Pp_0412,"Polyamine ABC transporter, periplasmic polyamine-binding protein",0.007130085388888889,1246.0
waaA,Q88D99_PSEPK,Kdta,3-deoxy-D-manno-octulosonic-acid transferase,0.0070965712777777785,1247.0
PP_2794,Q88J55_PSEPK,Pp_2794,"Oxidoreductase, short chain dehydrogenase/reductase family",0.0070742059999999996,1248.0
PP_3107,Q88I92_PSEPK,Pp_3107,Uncharacterized protein,0.007071474714285714,1249.0
pta,PTA_PSEPK,Pta,Phosphate acetyltransferase,0.007062574666666667,1250.0
PP_4616,Q88E52_PSEPK,Pp_4616,Uncharacterized protein,0.007062132444444444,1251.0
mnaT,Q88DH9_PSEPK,Pp_4846,"Phosphinothricin N-acetyltransferase, putative",0.007061736166666667,1252.0
PP_1246,Q88NG3_PSEPK,Pp_1246,Conserved domain protein,0.00704346,1253.0
PP_1232,Q88NH7_PSEPK,Pp_1232,Putative beta-barrel assembly-enhancing protease,0.007000680722222222,1254.0
waaP,Q88QZ0_PSEPK,Waap,Lipopolysaccharide core heptose(I) kinase,0.006990231888888889,1255.0
recD,Q88DZ6_PSEPK,Recd,RecBCD enzyme subunit RecD,0.006969017111111111,1256.0
yqeF,Q88E32_PSEPK,Pp_4636,Beta-ketothiolase,0.0069362304999999996,1257.0
PP_5023,Q88D06_PSEPK,Pp_5023,"Amino acid ABC transporter, permease protein",0.006932469888888889,1258.0
PP_2664,Q88JI5_PSEPK,Pp_2664,Sensory box histidine kinase/response regulator,0.0069236651111111115,1259.0
prpD,Q88KF2_PSEPK,Prpd,2-methylcitrate dehydratase,0.006919937555555556,1260.0
murU,Q88QT2_PSEPK,Pp_0406,Nucleotidyltransferase family protein,0.006915924277777778,1261.0
PP_3148,Q88I53_PSEPK,Pp_3148,"Glutamine synthetase, putative",0.006909065,1262.0
flgG,Q88ER8_PSEPK,Flgg,Flagellar basal-body rod protein FlgG,0.006903661166666667,1263.0
nhaA2,NHAA2_PSEPK,Nhaa2,Na(+)/H(+) antiporter NhaA 2,0.006878643333333333,1264.0
mutM,FPG_PSEPK,Mutm,Formamidopyrimidine-DNA glycosylase,0.006851809,1265.0
fadE,Q88LN6_PSEPK,Pp_1893,"Acyl-CoA dehydrogenase, putative",0.006836749555555555,1266.0
PP_3680,Q88GP0_PSEPK,Pp_3680,Uncharacterized protein,0.006800870277777778,1267.0
ttcA,TTCA_PSEPK,Ttca,tRNA 2-thiocytidine biosynthesis protein TtcA,0.006773928777777777,1268.0
PP_0886,Q88PG4_PSEPK,Pp_0886,Uncharacterized protein,0.006750665055555555,1269.0
mrcB,Q88DY5_PSEPK,Mrcb,Penicillin-binding protein 1B,0.0067471595,1270.0
PP_1721,Q88M53_PSEPK,Pp_1721,"Hydrolase, haloacid dehalogenase-like family",0.0067282324999999995,1271.0
ppiA,Q88EC5_PSEPK,Ppia,Peptidyl-prolyl cis-trans isomerase,0.006726452333333333,1272.0
PP_2930,Q88IR9_PSEPK,Pp_2930,"L-serine dehydratase, putative",0.0066940285,1273.0
trxC,Q88CW1_PSEPK,Trxc,Thioredoxin 2,0.006661361222222222,1274.0
PP_0166,Q88RG4_PSEPK,Pp_0166,HlyD family secretion protein,0.006648248444444445,1275.0
cmaX,Q88L50_PSEPK,Cmax,CmaX protein,0.00664045,1276.0
folC,Q88LD8_PSEPK,Folc,Folylpolyglutamate synthetase,0.006590407111111111,1277.0
ndh,Q88Q70_PSEPK,Ndh,NADH dehydrogenase,0.006582257111111111,1278.0
hutC,Q88CZ4_PSEPK,Hutc,Histidine utilization repressor,0.006572146055555556,1279.0
gmhB,Q88RS0_PSEPK,Pp_0059,"D,D-heptose 1,7-bisphosphate phosphatase",0.006568616722222222,1280.0
PP_0765,Q88PT3_PSEPK,Pp_0765,Uncharacterized protein,0.006556992722222222,1281.0
rbsB,Q88K38_PSEPK,Rbsb,"Ribose ABC transporter, periplasmic ribose-binding protein",0.006541582333333334,1282.0
betT-III,Q88FX0_PSEPK,Pp_3957,Choline/carnitine/betaine transporter family protein,0.006524675722222223,1283.0
PP_1078,Q88NX5_PSEPK,Pp_1078,"ABC transporter, ATP-binding protein, putative",0.006523167444444445,1284.0
PP_4293,Q88F07_PSEPK,Pp_4293,Uncharacterized protein,0.006517026555555556,1285.0
xseB,EX7S_PSEPK,Xseb,Exodeoxyribonuclease 7 small subunit,0.0065059294999999994,1286.0
csrA,CSRA_PSEPK,Csra,Carbon storage regulator homolog,0.006493887166666667,1287.0
lolC,Q88KY5_PSEPK,Lolc,"Lipoprotein releasing system, permease protein",0.006479611777777778,1288.0
mgtE,Q88EJ1_PSEPK,Mgte,Magnesium transporter MgtE,0.006464268444444445,1289.0
bioA,Q88D44_PSEPK,Bioa,Adenosylmethionine-8-amino-7-oxononanoate aminotransferase,0.006427518333333333,1290.0
PP_5057,Q88CX3_PSEPK,Pp_5057,"Peptidase, M23/M37 family",0.006423608222222222,1291.0
PP_0692,Q88Q06_PSEPK,Crea,CreA protein,0.006398433166666667,1292.0
dusA,DUSA_PSEPK,Dusa,tRNA-dihydrouridine(20/20a) synthase,0.006380138222222222,1293.0
PP_3509,Q88H56_PSEPK,Pp_3509,Glyoxalase family protein,0.00637212175,1294.0
PP_4799,Q88DM6_PSEPK,Pp_4799,"Muramoyltetrapeptide carboxypeptidase, putative",0.00633576288888889,1295.0
alkT,Q88C69_PSEPK,Rubb,Rubredoxin reductase,0.006276506277777778,1296.0
ccmG,Q88EY1_PSEPK,Dsbe,Thiol:disulfide interchange protein DsbE,0.006227704722222223,1297.0
rlmJ,Q88D82_PSEPK,Rlmj,Ribosomal RNA large subunit methyltransferase J,0.006198551055555556,1298.0
PP_3761,Q88GG3_PSEPK,Pp_3761,Sensor histidine kinase/response regulator,0.006192373722222222,1299.0
selD,SELD_PSEPK,Seld,"Selenide, water dikinase",0.006189476166666667,1300.0
yehW,Q88PI1_PSEPK,Pp_0869,"Glycine betaine/carnitine/choline ABC transporter, permease protein, putative",0.006186390090909091,1301.0
PP_3995,Q88FT7_PSEPK,Pp_3995,Uncharacterized protein,0.0061857750714285715,1302.0
glpR,Q88NX9_PSEPK,Glpr,Glycerol-3-phosphate regulon repressor,0.006174669666666666,1303.0
PP_1838,Q88LT9_PSEPK,Pp_1838,Uncharacterized protein,0.006145781166666666,1304.0
selA,SELA_PSEPK,Sela,L-seryl-tRNA(Sec) selenium transferase,0.006144551388888889,1305.0
PP_5126,Q88CQ4_PSEPK,Pp_5126,Uncharacterized protein,0.006139225722222222,1306.0
ltaE,Q88R13_PSEPK,Pp_0321,L-threonine aldolase,0.0061390049999999995,1307.0
PP_3757,Q88GG7_PSEPK,Pp_3757,Response regulator,0.006120122909090909,1308.0
PP_3106,Q88I93_PSEPK,Pp_3106,Uncharacterized protein,0.006116769222222223,1309.0
dppD,Q88PH1_PSEPK,Dppd,"Dipeptide ABC transporter, ATP-binding protein",0.006110306555555556,1310.0
bolA,Q88M18_PSEPK,Bola,BolA protein,0.006107953142857143,1311.0
PP_1087,Q88NW6_PSEPK,Pp_1087,"Outer membrane protein, OmpA family",0.006096876611111111,1312.0
queF,QUEF_PSEPK,Quef,NADPH-dependent 7-cyano-7-deazaguanine reductase,0.006063394,1313.0
PP_3140,Q88I61_PSEPK,Pp_3140,"Glycosyl transferase, group 2 family protein",0.006053008777777777,1314.0
PP_5232,Q88CE9_PSEPK,Pp_5232,Uncharacterized protein,0.0060088405,1315.0
PP_3706,Q88GL5_PSEPK,Pp_3706,Uncharacterized protein,0.005991821944444444,1316.0
minC,MINC_PSEPK,Minc,Probable septum site-determining protein MinC,0.0059837965,1317.0
PP_2165,Q88KX4_PSEPK,Pp_2165,Response regulator,0.0059787407777777786,1318.0
PP_1209,Q88NJ8_PSEPK,Pp_1209,Cold-shock domain family protein,0.005969882888888889,1319.0
PP_1262,Q88NF0_PSEPK,Pp_1262,"Transcriptional regulator, LysR family",0.005941899388888889,1320.0
rsmB,RSMB_PSEPK,Rsmb,Ribosomal RNA small subunit methyltransferase B,0.00591853,1321.0
PP_2307,Q88KI3_PSEPK,Pp_2307,Uncharacterized protein,0.005917061277777778,1322.0
aacs,Q88IC8_PSEPK,Pp_3071,"Acetoacetyl-CoA synthetase, putative",0.005912621722222223,1323.0
PP_3924,Q88G02_PSEPK,Pp_3924,Uncharacterized protein,0.005906336611111111,1324.0
PP_4987,Q88D41_PSEPK,Pp_4987,"Chemotaxis protein, putative",0.005891412166666667,1325.0
hflD,HFLD_PSEPK,Hfld,High frequency lysogenization protein HflD homolog,0.005879691611111111,1326.0
pncB,PNCB_PSEPK,Pncb,Nicotinate phosphoribosyltransferase,0.005877682166666667,1327.0
gstB,Q88LN5_PSEPK,Pp_1894,Glutathione S-transferase family protein,0.0058620692222222225,1328.0
colR,Q88PE9_PSEPK,Colr,DNA-binding response regulator ColR,0.005845829944444444,1329.0
ureC,URE1_PSEPK,Urec,Urease subunit alpha,0.005843177111111111,1330.0
PP_0858,Q88PJ2_PSEPK,Pp_0858,"Aminotransferase, class I",0.005834929277777778,1331.0
cobI,Q88DJ8_PSEPK,Cobi,Precorrin-2 C20-methyltransferase,0.005832261111111111,1332.0
anmK,ANMK_PSEPK,Anmk,Anhydro-N-acetylmuramic acid kinase,0.005810177722222223,1333.0
tusD,Q88FT9_PSEPK,Dsre,DsrE protein,0.005799195722222222,1334.0
PP_2678,Q88JH1_PSEPK,Pp_2678,"Hydrolase, putative",0.0057749885,1335.0
PP_1475,Q88MU3_PSEPK,Pp_1475,CAIB/BAIF family protein,0.0057128606666666665,1336.0
lolE,Q88KY3_PSEPK,Lole,"Lipoprotein releasing system, permease protein",0.0056585632777777775,1337.0
PP_4943,Q88D84_PSEPK,Pp_4943,"Glycosyl transferase, putative",0.0056470386111111106,1338.0
PP_1406,Q88N10_PSEPK,Pp_1406,Uncharacterized protein,0.0056176207222222215,1339.0
PP_3775,Q88GE9_PSEPK,Pp_3775,"Sarcosine oxidase, putative",0.0056170645,1340.0
PP_1523,Q88MP7_PSEPK,Pp_1523,Uncharacterized protein,0.005614199285714286,1341.0
cysQ,Q88R73_PSEPK,Cysq,"3'(2'),5'-bisphosphate nucleotidase",0.005611885722222222,1342.0
